name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new delhi,2017-05-01,37.8,23.9,31.3,37.1,23.9,30.5,12.5,34,0,0,0,,,,27.7,13,119.1,1007.4,15.5,4,333.4,28.8,10,,2017-05-01T05:40:25,2017-05-01T18:56:25,0.16,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-02,40,23,32.3,38,23,31.4,11.4,31.1,0,0,0,,,,,13,122.1,1007.6,20.9,3.6,310.9,26.7,10,,2017-05-02T05:39:35,2017-05-02T18:57:01,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-03,39.8,25.7,32.2,38.9,25.7,31.3,12.6,32.4,0.2,100,4.17,rain,,,55.4,18.4,160.3,1005.9,61.1,2.7,269,23.3,9,,2017-05-03T05:38:46,2017-05-03T18:57:37,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-04,38.8,25,31.9,37.3,25,31.2,13.4,36.1,0.7,100,8.33,rain,,,,24.5,249.9,1006.9,15.9,3.6,301.8,26.1,10,,2017-05-04T05:37:58,2017-05-04T18:58:13,0.32,Rain,Clear conditions throughout the day with early morning rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-05,40,24,33.2,38.2,24,32.1,11.5,29.6,0,0,0,,,,31.7,21.7,215.9,1005.8,8.4,3,319.6,27.4,10,,2017-05-05T05:37:11,2017-05-05T18:58:50,0.37,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-06,42.2,25.7,34.4,41,25.7,33.9,13.5,31,0,0,0,,,,,10.7,132.4,1005.5,5.6,3.5,310.4,27,10,,2017-05-06T05:36:26,2017-05-06T18:59:26,0.41,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-07,44,26,35.5,44,26,35.1,12.8,29.3,0,0,0,,,,27.7,16.8,180.2,1004.2,0.3,3.4,304.3,26.2,10,,2017-05-07T05:35:41,2017-05-07T19:00:03,0.45,Clear,Clear conditions throughout the day.,clear-day,"42182099999,VIDP,42139099999,42181099999,VIDD,remote"
new delhi,2017-05-08,42.8,28.7,35.9,44.5,28.7,35.9,14,28.3,0,0,0,,,,,13,202.5,1003.4,20.8,3,297.3,25.7,9,,2017-05-08T05:34:57,2017-05-08T19:00:39,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-09,42.3,28.3,35.5,43.9,28.4,36,15.5,32.6,0,0,0,,,,37.1,18.9,168.5,1001.9,26,3.5,302.2,26.1,10,,2017-05-09T05:34:15,2017-05-09T19:01:15,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,VIDP,42139099999,42181099999,VIDD"
new delhi,2017-05-10,39.8,28.9,33.1,43.1,29.5,35.6,19.7,46.5,0.7,100,4.17,rain,,,46.4,27.7,139.9,1004.3,47.7,3.3,303.4,26.3,10,,2017-05-10T05:33:33,2017-05-10T19:01:52,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42182099999,VIDP,42139099999,42181099999,VIDD"
